0, 43981.65616480963, 43900.01970911687, Infinity, 2891822.983060459, 64358.15911881918, 39033.04547119186, 46100.96662113412, 4.876628081679362E113, 63306.93625422562, 2091038.8789925487, 39967.94047839378, Infinity, Infinity, Infinity, 40251.045917924894, Infinity, Infinity, Infinity, 739475.2081963145, 49466.74328103028, 31546.95930943942, 81889.63658927278, 44903.98641996899, Infinity, 36161.70367598851, 50260.49532521371, 43444.84866436316, 44179.71067429836, Infinity, 37060.44081534736, Infinity, Infinity, Infinity, 45411.597462635065, 57295.26569085293, 42898.52998337637, 43096.24489267184, 6.656235378611195E8, 40608.246328888075, 39193.7877451307, 43362.08630474958, Infinity, 50719.799899579855, 39906.76334505499, 44869.04680543474, 537457.3718649412, 67271.87724527402, Infinity, 46723.95582511531, Infinity, 9.170780421872656E93, Infinity, 47884.39840389126, 43113.75901316916, 49077.60210570561, 54040.21155625483, 43139.26934439449, Infinity, 47615.03059271538, Infinity, 43984.848263923486, 48154.89144305116, Infinity, 2212916.4595446484, Infinity, 46234.088340864066, 45258.886010722075, 35239.91552785972, 47665.623748373386, 47122.09839410093, 48665.77793240948, 4.203511258764899E8, Infinity, 39579.58781068529, 35908.925761625505, 268135.54571627005, 49185.47818889684, 39351.71297685072, 3.2899946800948376E28, Infinity, Infinity, 1.2300133270839691E7, 40627.6951397133, 38913.80489825526, 40379.84745521004, 66043.81202813696, Infinity, Infinity, 41827.66552349261, Infinity, 46030.42505299825, 420700.23777087685, 47359.85525528921, 1.4340326003908484E9, 48643.8727718018, 44290.99993843875, 42649.902511471315, 46326.00106686375, 40753.79902395803, Infinity
1, 20.78364027741138, 22.083968829836053, 22.200005696419357, 22.419981495339083, 22.43669360461431, 22.782962466701978, 22.810204414718456, 22.925805168861046, 22.99332082145595, 23.06474833313217, 23.10040237874319, 23.1815419684005, 23.186424026517653, 23.206282684766776, 23.218144371103644, 23.253234517251176, 23.319340316441963, 23.48741188128182, 23.77069326945111, 23.871954272926725, 23.935741704476865, 23.98244355497312, 23.99867287688611, 24.055316985978127, 24.07279120402881, 24.214738410445445, 24.21715740347888, 24.33143054792057, 24.3744732300126, 24.396133290559717, 24.50556478781608, 24.57060004605899, 24.579042794233455, 24.604324824014377, 24.60955784943547, 24.637531154812613, 24.696827256581365, 24.724706657723406, 24.780271004136235, 24.932885604069103, 25.132511348229436, 25.21038986735492, 25.222350559861006, 25.243022127077385, 25.284573748255745, 25.312416095146823, 25.343053626285226, 25.352415520187325, 25.439411474803737, 25.48916649966984, 25.602273492297833, 25.72952572506224, 25.750391920830552, 25.878099651060996, 25.93192841121195, 25.955873734397876, 25.970626512067543, 25.986365587043455, 26.041166187544274, 26.08705468247765, 26.199104034034, 26.224352599128633, 26.274129308556386, 26.332961299379882, 26.433539607244157, 26.459348060373912, 26.717363560122916, 26.776929634852376, 26.783974451669827, 26.809205374375992, 26.861282996921556, 26.989353202761972, 27.06057214360171, 27.07211543202703, 27.131244205018405, 27.202346812929694, 27.301347582974792, 27.415690575669547, 27.62591871599218, 27.81490444678114, 28.84542561193386, 29.006706412352525, 29.316516359128254, 29.68885232210451, 29.877521796788784, 30.11777565285307, 30.421046570585, 31.177481719002824, 31.659990193580942, 31.674000666942433, 32.0078525821566, 32.4985180088801, 32.8621054317515, 33.98460465544307, 34.39306722271151, 34.56216615138484, 34.74150608785803, 35.237312173047016, 35.58854774072953, 35.61779239311819
2, 19.61165426985546, 20.42953616063257, 20.44248462508625, 20.791512133657886, 21.140873829090694, 21.15829386923905, 21.248797989986205, 21.365709665144333, 21.544884338344946, 21.594454793771014, 21.71819452660564, 21.72376666108543, 21.792148345992434, 21.792207575660125, 21.92809633268283, 21.93161209256282, 21.948125667754528, 21.96865109813827, 21.97946136394876, 21.981181456546285, 21.998918469971954, 22.040289721263214, 22.06285726488662, 22.074671465980042, 22.120966488797986, 22.128123869366952, 22.156521114562963, 22.166767369402596, 22.200692442680065, 22.20177498798205, 22.210718832721046, 22.219495034209285, 22.222222559353384, 22.289971328509395, 22.308399119696464, 22.361907587347773, 22.377856411006732, 22.41874714395996, 22.44393048646031, 22.45390145430184, 22.460887059439635, 22.473579627158774, 22.49514537946339, 22.517364101026356, 22.5182786151068, 22.525655613943613, 22.528670966821974, 22.543386782514855, 22.55540715322003, 22.556693332212536, 22.595996084232073, 22.62128896719053, 22.635382504767325, 22.64508049261406, 22.650845712361953, 22.659545615829263, 22.69692850477964, 22.711966423570356, 22.759147326468344, 22.764647133192643, 22.765000157293432, 22.801578131517065, 22.80638928964298, 22.822378789388786, 22.8576955894641, 22.886922598342174, 22.887446650439575, 22.934540788756177, 22.9866292413033, 22.996581095899284, 23.00680899200586, 23.009651980007515, 23.015101466023683, 23.029473384854324, 23.03928739335374, 23.056024985998558, 23.08390167864516, 23.090854341963514, 23.091911972420625, 23.11213469447771, 23.180676256228413, 23.187702439449566, 23.188627018368514, 23.19711204221325, 23.216761123598182, 23.21744382284152, 23.222745085130406, 23.233569674444865, 23.23604532062721, 23.241049184837657, 23.254940292639315, 23.2758462707436, 23.28805202809669, 23.29325230182639, 23.30207786599438, 23.321791176776525, 23.322793027101724, 23.35952471260708, 23.363941695320012, 23.37737444514384
3, 19.573366381725144, 19.79714183324146, 20.18727538536228, 20.285337046224956, 20.302079997437378, 20.662796414046255, 20.81881802226026, 20.95956693317677, 21.00085712619339, 21.02731808347328, 21.031993025624438, 21.123422316294626, 21.134055362909244, 21.15812118704335, 21.233010828251707, 21.341779069228878, 21.409625171561373, 21.436589320858804, 21.471234295845893, 21.486298863285786, 21.499664754931345, 21.53896230928911, 21.538965735970834, 21.664043119964987, 21.768033327731743, 21.769987713000855, 21.787788723731467, 21.80197563997953, 21.803650339479667, 21.812956902870663, 21.829277954398925, 21.83544250613924, 21.90392085767227, 21.959017518029114, 21.988526437917812, 22.0144558253178, 22.095895488987942, 22.09931152770066, 22.14545448262564, 22.156900736441198, 22.17714924862463, 22.192545413167412, 22.218575338491487, 22.25500902286017, 22.26114755289162, 22.279499796849557, 22.30527523960501, 22.38579920550418, 22.403255195997623, 22.44843642121805, 22.464823540131274, 22.46523458179375, 22.47132389967426, 22.486674376197215, 22.50672533433947, 22.537685370843665, 22.54837823462709, 22.576344660267292, 22.578965690930094, 22.608273382990074, 22.610209414277808, 22.62186109441913, 22.678596782159495, 22.69945452065678, 22.701685093802254, 22.70306968522088, 22.715363046124054, 22.7267618972986, 22.79104046212482, 22.814165932187375, 22.846164291558807, 22.853493752171723, 22.8828739897685, 22.914731130195374, 22.936425756985425, 22.951527717181417, 22.959370695138077, 22.97688659492319, 22.98016940175338, 22.98351105156602, 23.008560561533923, 23.077964145312617, 23.081469565286273, 23.096025018250792, 23.110074271902533, 23.116192562975233, 23.124998419646634, 23.136486047880112, 23.14495481628782, 23.148569097329673, 23.149499192467324, 23.15192868793557, 23.165129720779966, 23.16560944582798, 23.18133702055769, 23.187693358409085, 23.195457170705797, 23.199629719431243, 23.207437988834943, 23.211902431725886
4, 20.395885196018327, 20.90843205448132, 21.213035314415503, 21.228329798799493, 21.331733463324994, 21.3336159375803, 21.347057701665786, 21.39449825334174, 21.409032255595292, 21.465322207179685, 21.546900201615227, 21.567436241232322, 21.72366489304987, 21.7350919895849, 21.747629698729526, 21.753442478866514, 21.763350553551497, 21.78253715489477, 21.821174726775688, 21.82662784273548, 21.84498514102588, 21.845119205024297, 21.85507739421839, 21.87207564430283, 21.94012354877516, 21.958612082090294, 21.966715082208353, 22.001025966679723, 22.005328701714486, 22.018314078173667, 22.03603269880644, 22.05089406773194, 22.064701546380725, 22.080680576295492, 22.08538645688798, 22.13064409708225, 22.1553583111518, 22.163637284136776, 22.165071902519028, 22.183678372993946, 22.23728081506512, 22.246205050427285, 22.24669731947788, 22.27474731636493, 22.312960232320414, 22.345959718292704, 22.35302796500962, 22.434652594926206, 22.463966825890765, 22.464710416931915, 22.47603893849783, 22.4776371375644, 22.487595663308202, 22.498201686665805, 22.511724583643495, 22.5317130639813, 22.551187553204656, 22.592482837834012, 22.609059160213576, 22.616683155766516, 22.64014688184401, 22.65005757694376, 22.692760508598784, 22.70057941229982, 22.734746623128775, 22.750889827837373, 22.753160955993483, 22.793592692959994, 22.827757464868707, 22.832767105331317, 22.837928682979324, 22.838247359476707, 22.85111380222869, 22.867468449982884, 22.893961049030366, 22.89408998822921, 22.930687124683207, 22.949547080672925, 22.99413933565479, 23.015283657262053, 23.062332384770023, 23.072749335207057, 23.073829586339535, 23.086466918561495, 23.129248524415296, 23.12939345562521, 23.13638829296245, 23.20379428054939, 23.216873449640648, 23.223845882362774, 23.238627536599793, 23.24456530195326, 23.264815366552394, 23.26520592271001, 23.278137749005783, 23.301187644065998, 23.340035204125964, 23.34596001814318, 23.347392883214663, 23.348655289045347
5, 20.254765517771553, 20.399950989554537, 20.43731057829391, 20.748845903488725, 20.834527514288347, 20.83580777306991, 20.864562126000003, 20.8695355139762, 20.934403674337435, 21.04559101390998, 21.09513297236223, 21.100741173510848, 21.101591661686072, 21.16963864862785, 21.173311431168816, 21.199555924541862, 21.200292460821803, 21.289570343030434, 21.309234165129975, 21.343169187099353, 21.380379959860917, 21.42018557880424, 21.430442345888245, 21.4801385624511, 21.531237635119595, 21.59802226518946, 21.642059030193025, 21.651925264890274, 21.664910172371496, 21.717133182517966, 21.750830405269376, 21.756476980699436, 21.761064878107373, 21.778613013834725, 21.782648841457277, 21.821195423854842, 21.837527368065363, 21.85354582072117, 21.892587401212463, 21.894548858778997, 21.995671163478487, 22.014806305889824, 22.06056236886402, 22.080952993770136, 22.107164091386718, 22.115584362721265, 22.19914296504316, 22.216748747583146, 22.217174042554067, 22.273367093310938, 22.279853369696788, 22.286958374327234, 22.35000282063715, 22.387321113463155, 22.38738464377703, 22.387545327489324, 22.40536957545591, 22.40564185570614, 22.4276085594159, 22.430934175717173, 22.458064871062728, 22.467857238467612, 22.489930082955283, 22.51166039517144, 22.514863494866784, 22.521317464699525, 22.554381820075626, 22.57160306183788, 22.58040406400009, 22.5899403780063, 22.590227685687026, 22.59464961953496, 22.609510749896486, 22.611984189496923, 22.626977924848443, 22.64415903139548, 22.653484919705175, 22.65573476994135, 22.66053089125034, 22.662338169181655, 22.67998782465081, 22.714300241140258, 22.7224574043635, 22.737377167754495, 22.77489278376281, 22.787815381314, 22.803403619014837, 22.80436668734239, 22.80787533605566, 22.82499409071617, 22.825351613492018, 22.863673606697667, 22.893155726133628, 22.91558164204071, 22.924582687934862, 22.925539609242573, 22.937428076877893, 22.955600802732324, 22.990330256987427, 22.993433516425892
6, 19.974935725382345, 20.181341688004547, 20.239056059987192, 20.333954240112657, 20.369686394259627, 20.614867778216322, 20.67198755824951, 20.860123372337412, 21.290303479628857, 21.36865235834528, 21.40547780484857, 21.488670942787884, 21.488821158400448, 21.54261366061952, 21.60062607096499, 21.60222686013475, 21.602476703706873, 21.664193181669113, 21.70687520268408, 21.772118929570887, 21.772430437139555, 21.804265703894682, 21.824237864302205, 21.83813070372786, 21.838467499945306, 21.848170119510236, 21.877169304946168, 21.907822273703417, 21.920085278588324, 21.934409280458453, 21.953575641400434, 21.99472776582041, 22.002862202802287, 22.007416641218292, 22.047805056696667, 22.080236353839485, 22.080522256248894, 22.10671592722552, 22.112467509965487, 22.115034473518058, 22.117322858571665, 22.13229609332251, 22.15879800321263, 22.167916833775557, 22.185479326878564, 22.21989002472151, 22.2700734062589, 22.290686560941694, 22.302356270368318, 22.373330417096586, 22.374843091469536, 22.37698563388696, 22.412859207547406, 22.417511992285007, 22.443432140637785, 22.443576469950077, 22.452534573655704, 22.464675989914486, 22.48281044609342, 22.530143439982268, 22.532542231589165, 22.570446376742623, 22.585061049858293, 22.589561602739202, 22.632817173585074, 22.671324229424684, 22.69269233064472, 22.693831884157213, 22.694464136630696, 22.705657433543838, 22.708196306581723, 22.713632473770414, 22.71384971496069, 22.736735629684308, 22.755374728370487, 22.773851959230388, 22.794284951613918, 22.80074848311281, 22.8091658868563, 22.821787866237944, 22.86958903221607, 22.87605440523069, 22.88381872729352, 22.910664786901016, 22.932440477366345, 22.93766996649275, 22.950449018058027, 22.9621540137148, 23.00204915260246, 23.069513607320655, 23.082133096420858, 23.089240626499866, 23.0901483866862, 23.100029211491332, 23.1020313704677, 23.108520524080298, 23.110353270061278, 23.124839330641706, 23.16269407779364, 23.16514477300017
7, 18.91647977703457, 19.289615754697596, 20.522766415448373, 20.612582819655195, 20.81824289419766, 20.84609413856848, 20.934755059978144, 20.942248022821808, 20.947332990033875, 21.030073943333285, 21.037799109880993, 21.05348265976388, 21.087306252699655, 21.090627510484072, 21.170380401145746, 21.18078974793745, 21.225905629225025, 21.419421411111518, 21.434218902805302, 21.546416030968288, 21.593435805381876, 21.68097111445371, 21.7411315892951, 21.764351279181096, 21.79190882212366, 21.797904501410788, 21.82185530147381, 21.839999123395653, 21.951104805097383, 21.95947531163195, 21.960432244723048, 21.967768713617325, 21.97577615827314, 21.98146028239877, 22.041577289265053, 22.05800030830891, 22.06959150623445, 22.080155265195266, 22.155072567375157, 22.173320208386773, 22.207857742508867, 22.209391181613107, 22.210122148365315, 22.227466089460954, 22.231013343680242, 22.25276553893502, 22.286182010779296, 22.310103821652618, 22.32229387216723, 22.33311871914918, 22.375075071064973, 22.375416788548122, 22.38657658116332, 22.387983856969406, 22.401148849033042, 22.41279269550136, 22.425036695785817, 22.473646254183706, 22.483659217026336, 22.499918127509854, 22.52293248423606, 22.537856926729567, 22.558537828165353, 22.566865480286957, 22.568342111013592, 22.57133307856691, 22.59476528200287, 22.639304360172225, 22.641687890932438, 22.673982871567265, 22.67502256532988, 22.68253513857716, 22.70904003692299, 22.713678804951076, 22.729475599497988, 22.75419471732362, 22.755011345961123, 22.76365050577558, 22.765129996358002, 22.772167198731115, 22.772562386496556, 22.774882101468627, 22.782846686287122, 22.802616455596038, 22.80487455919767, 22.822189350295144, 22.834603124248037, 22.85521531307102, 22.87467271564758, 22.877278828478588, 22.912851742058148, 22.91769488477148, 22.93017329353586, 22.931908989958416, 22.940752913918445, 22.9451110789106, 22.95141371328353, 22.9567892608763, 22.965908805024764, 22.993755788786892
8, 20.137286400015487, 20.387659258197452, 20.561696837005023, 20.587445109151897, 20.740397419925678, 20.808058103442114, 20.859588438580225, 20.947346313050954, 20.976042763325133, 20.98744553203931, 21.05951875732154, 21.080232632290283, 21.090744291716014, 21.211599186570773, 21.21572428598326, 21.25141900215913, 21.272993867517684, 21.287588564417852, 21.310303694233507, 21.361372945102595, 21.376545185836306, 21.44106409020717, 21.47639047996519, 21.516645621645793, 21.537999139844853, 21.5902584539139, 21.608455334510815, 21.610213126803373, 21.646402210257985, 21.69062537359824, 21.726476503838555, 21.72859237047125, 21.762827058272855, 21.786213670632677, 21.804860713813163, 21.838240507227958, 21.85153923685847, 21.868918751662047, 21.9472280313943, 21.97150093338271, 22.00766635152979, 22.014547447536323, 22.049030883452854, 22.05480663862529, 22.08016081455479, 22.09137744492121, 22.130844399420734, 22.15937920389169, 22.209228423713604, 22.24108141461311, 22.275769652247245, 22.296108927404564, 22.29899498805334, 22.315793162731183, 22.33280179709417, 22.365202217741615, 22.37285360091341, 22.40179680741882, 22.40969491404615, 22.429469097917227, 22.44216280506619, 22.448425641868923, 22.464509423808728, 22.500724988324855, 22.513804010530592, 22.52097592814085, 22.537209667164426, 22.548601252956658, 22.60576708086045, 22.617454277069083, 22.62455438911694, 22.637452136320523, 22.65346370889587, 22.658983729169716, 22.66233898412251, 22.67271341239842, 22.688007017689742, 22.689267977657785, 22.71152412834779, 22.738942825421493, 22.747557550105878, 22.748968216926944, 22.7522837206197, 22.754978962244536, 22.766602727230627, 22.76989003570993, 22.778403349175264, 22.782502270360464, 22.800385088553107, 22.873638175661135, 22.87571293642094, 22.88351665747521, 22.889722043846266, 22.89538327477204, 22.93827618125758, 22.950766264576554, 22.955583156959673, 22.967489313429713, 22.967891788970718, 22.97390402819164
9, 18.899639599275073, 19.14672430078196, 19.926227773759155, 19.968199529874934, 20.30570419127629, 20.383974470989003, 20.444628040013633, 20.685266738936043, 20.702041724260273, 20.728283990684307, 20.871502399241518, 20.99312385173221, 21.066842485802706, 21.102609705902168, 21.252164919664082, 21.33672761766421, 21.35611777907981, 21.366391413454522, 21.369985673050984, 21.373640330026742, 21.508142769120557, 21.552321966101232, 21.614885718245546, 21.702302987610384, 21.769247194694557, 21.804904546655518, 21.809778839957957, 21.825375997567043, 21.826599633331572, 21.832593474868087, 21.85244914078315, 21.88239763900627, 21.884430800251554, 21.95137133482869, 21.974099237189662, 22.06570092239607, 22.07605183447423, 22.14776064962905, 22.16749558088508, 22.184056185035637, 22.203316825007445, 22.249526356629083, 22.277564121990174, 22.289775375281295, 22.303780249636286, 22.354681503439924, 22.35476513398491, 22.36509576275925, 22.390446614126713, 22.401887746117392, 22.402655103486413, 22.41224592567899, 22.425242994239508, 22.44735855440441, 22.458891200348624, 22.46116141170337, 22.46529400525559, 22.469751998294292, 22.475603983993445, 22.490820943338367, 22.492349313258725, 22.50340896987337, 22.507594132732844, 22.5236430456392, 22.52381320836682, 22.531783724142976, 22.550295482241484, 22.557899196934166, 22.57675218149469, 22.589098808830272, 22.600871715868024, 22.634993779756673, 22.64120824234142, 22.67785015837296, 22.687256608671333, 22.694430484375456, 22.720450335105962, 22.729651608445483, 22.746829462933793, 22.76638544847391, 22.77711243924635, 22.783364050299323, 22.786098977002528, 22.809506240940102, 22.848969577617744, 22.88455911671145, 22.89740386321858, 22.897718973583707, 22.918592271800478, 22.931071895574743, 22.93694173537664, 22.950654630219773, 22.962586744893926, 22.973479497596955, 23.00114368419513, 23.00789772101609, 23.015687276101524, 23.017551381121336, 23.01874438975079, 23.043235198617214
10, 19.12968947248467, 19.2420566897985, 19.899533529021276, 19.97219218113168, 20.622161349427437, 20.649665878818226, 20.659938799965538, 20.74983128110933, 20.819044962144385, 20.856686679340093, 20.922418043814144, 20.936924186313657, 20.960398921230688, 20.98797693912829, 20.990184601234024, 21.07087495331137, 21.113934692964182, 21.123643285463444, 21.133715287679816, 21.26232689577671, 21.340166850363065, 21.36666490185233, 21.61950453820128, 21.650542297026796, 21.692649400698528, 21.707896302960787, 21.786753642398367, 21.861192973862543, 21.912697378237414, 21.916074702166302, 21.91939765932864, 21.95684624679778, 22.004113502564884, 22.112295386187142, 22.120052868575673, 22.12550902009887, 22.164328511847074, 22.220794337210293, 22.227858983024376, 22.25235577298076, 22.31450238145959, 22.328416709804653, 22.34305284262168, 22.379926144223585, 22.38602546098404, 22.39529098967629, 22.41636682128591, 22.45257769944604, 22.460420198253022, 22.463357771509692, 22.46681397960725, 22.469436521764347, 22.478609351918383, 22.508045502766077, 22.51020340802957, 22.53378098739784, 22.540741069366405, 22.544940313425336, 22.548708113908877, 22.557002375673363, 22.571031643632622, 22.578353506667295, 22.600142307969946, 22.610661651343577, 22.63096225573894, 22.649915192077263, 22.66532187502846, 22.68963885020093, 22.700426974074013, 22.716941044673355, 22.71807053399704, 22.719063042879878, 22.727738689167293, 22.731639634468912, 22.735724979808833, 22.735731702599246, 22.748527253356848, 22.762806159677922, 22.783086744070708, 22.79273862889923, 22.79486881896773, 22.79675996970734, 22.821466357066072, 22.83004543242965, 22.835619262488073, 22.860025489625496, 22.867530174103138, 22.881774057644545, 22.889018203721264, 22.94780692566437, 22.94970281169759, 22.959191557178784, 22.968866080589574, 22.977815392563116, 22.98321657419031, 22.98759580895928, 23.009655212493197, 23.023763720111816, 23.036297646151407, 23.04607412361223
