0, Infinity, Infinity, 86310.25642827815, Infinity, 87244.0647337767, 85924.87378699318, Infinity, Infinity, 2.237545196951416E269, 441114.53780626267, Infinity, 87244.0647337767, Infinity, Infinity, 6.287780297397244E8, Infinity, Infinity, Infinity, 4.665524109288783E168, 1.618936348145231E81
42, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095
43, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095
44, 19050.355308978662, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095
45, 18820.719701783364, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19050.355308978662, 19058.464896153095, 19058.464896153095
46, 19724.556969019708, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19050.355308978662, 19058.464896153095
47, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19050.355308978662, 19058.464896153095
48, 25386.43781956145, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19050.355308978662, 19058.464896153095
49, 19046.109815900312, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19050.355308978662, 19058.464896153095
50, 18866.50690900225, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19046.109815900312, 19047.39916583301, 19050.355308978662
51, 18994.181312001085, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19046.109815900312, 19047.39916583301
52, 18841.250509130732, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18994.181312001085, 18997.26633721736, 19013.20591850276, 19046.109815900312
53, 19157.17900028364, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18994.181312001085, 18997.26633721736, 19013.20591850276
54, 19029.70013991519, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18994.181312001085, 18997.26633721736, 19013.20591850276
55, 18937.25766318346, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18994.181312001085, 18997.26633721736, 19013.20591850276
56, 19028.002973626353, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085, 18997.26633721736
57, 19018.263761354552, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085, 18997.26633721736
58, 19021.935881218466, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085, 18997.26633721736
59, 19666.627865650207, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085, 18997.26633721736
60, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085, 18997.26633721736
61, 18730.8124281743, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085, 18997.26633721736
62, 18866.50690900225, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673, 18994.181312001085
63, 19139.35631370998, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673
64, 18811.43567456666, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346, 18958.273338534673
65, 18870.894060090683, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18937.25766318346
66, 18944.088825334555, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683, 18884.812314785846, 18911.685133393334
67, 19058.464896153095, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683, 18884.812314785846, 18911.685133393334
68, 19058.464896153095, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683, 18884.812314785846, 18911.685133393334
69, 18725.631650586667, 18686.79789668599, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683, 18884.812314785846, 18911.685133393334
70, 18810.93388659807, 18686.79789668599, 18725.631650586667, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683, 18884.812314785846
71, 19058.464896153095, 18686.79789668599, 18725.631650586667, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18810.93388659807, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683
72, 19058.464896153095, 18686.79789668599, 18725.631650586667, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18810.93388659807, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683
73, 19117.19309423159, 18686.79789668599, 18725.631650586667, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18810.93388659807, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683
74, 18956.071080923197, 18686.79789668599, 18725.631650586667, 18730.8124281743, 18769.684029492353, 18810.788828687255, 18810.93388659807, 18811.43567456666, 18820.719701783364, 18830.71176854313, 18834.80241182439, 18841.250509130732, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18866.50690900225, 18866.50690900225, 18870.894060090683
