0, 601111.8069985776, 42637.09115936309, Infinity, 90726.15393974986, 273900.69532895304, 51043.56003018156, 3.3873577233923267E12, Infinity, Infinity, 42979.58538843539, 44291.58155908492, Infinity, 40812.273166421546, 43551.39826100007, 2.19876525589575E16, 39043.23178907274, 39160.838055731736, 30892.294906252897, Infinity, Infinity, Infinity, 50832.10556577505, 41849.27487660794, Infinity, 1090514.921304726, 89961.47786651259, Infinity, 44576.695204103286, 52020.26690413223, 48641.77176212204, 51684.87628715413, Infinity, 43887.52562935275, Infinity, 46440.04386199419, Infinity, 4.279305007347685E94, Infinity, Infinity, 35143.926230880184, 56756.38854222221, 42955.03854359684, 41039.442751037095, 67010.46375013978, 156585.58961948214, Infinity, 36433.6685296416, 1.5533513523306582E27, 32258.98882528339, 8.021727966600402E13, 34676.25309170187, Infinity, 39343.9008783018, 40565.69136113023, 151241.62596326304, 41580.47450472088, 43605.24304537714, Infinity, 3.644034862714055E8, Infinity, Infinity, Infinity, Infinity, 1.665613151841102E34, Infinity, 135825.99098128668, 720486.2171873719, 41503.85449059461, 77686.81553046117, 44727.344619210286, Infinity, Infinity, 65991.83178607217, Infinity, 52985.77486525399, Infinity, 42013.501478720245, Infinity, 29258.520184842724, 38248.189213055775, 34226.46981715269, 37690.27987884308, Infinity, Infinity, Infinity, Infinity, 47916.27228202804, 40921.56731175783, 34131.466315955295, Infinity, 29592.46365003036, 51672.574814567015, Infinity, 47053.952312575704, 1.6785416794037377E23, Infinity, 66995.45064378896, 35848.20518196867, 47496.83489779446, 121390.95284684713
1, 16.108349596417927, 17.67016577223874, 18.108393657405895, 18.525381188454887, 18.600419052189945, 19.007637796172624, 19.252658972518088, 19.899248222834856, 20.011492739417307, 20.097166565767647, 20.216675873480757, 20.224813148088348, 20.31437273459028, 20.52337851523065, 20.633958935189675, 20.676495072992033, 20.679798207888442, 20.923662827054365, 21.002181695786877, 21.082957065910314, 21.16116909196033, 21.181707250572003, 21.348295007532585, 21.354409690284363, 21.43581796039088, 21.462293463400332, 21.538841401807524, 21.63592629131466, 21.77317591577354, 21.89707645107549, 22.146172939189036, 22.14719822114074, 22.158174759280357, 22.51891791200364, 22.587835823961026, 22.598534456982904, 22.69458887100058, 22.75364059891361, 22.813040353698195, 22.834238628003213, 22.876128219659222, 23.059822557344816, 23.095378695395404, 23.145579908705567, 23.20523109404312, 23.209258621393815, 23.321691777973637, 23.374443799583627, 23.4815709331351, 23.487307039749705, 23.523879060510176, 23.538963317292684, 23.621605478420996, 23.64155475139924, 23.821146013964245, 23.877454289327233, 23.940579657707882, 24.091683226691703, 24.188948456972916, 24.190523081013506, 24.26121045259039, 24.345325002357203, 24.415271300398544, 24.47676977335512, 24.479750949327226, 24.684562170959705, 24.874726838928833, 24.88725767911782, 24.934608865579317, 24.951508082575103, 25.252124216392193, 25.81542347571558, 26.395603130918424, 27.035414205601356, 27.161293689540372, 27.378910213063506, 28.59033115688767, 30.84947576296685, 31.617693783517254, 31.955264384586474, 32.06766449948981, 33.189063024413194, 34.561963772077966, 34.59861007447944, 34.814160178423144, 37.60590612161727, 38.88422305171124, 40.861564581087926, 41.33274987448, 41.590894819506126, 41.70794391591651, 42.354111758290834, 42.71165039698909, 43.34259967853744, 43.631255772277996, 44.69642615697041, 45.29397850248906, 45.842538935622464, 46.103337578870935, 46.13890375832913
2, 16.748379017990885, 16.98081594356802, 17.551785894824466, 17.867880489225698, 18.012704301832244, 18.49578738792783, 18.579227462452554, 18.698610300880546, 18.71366261842498, 18.764880204585214, 18.802514334011867, 18.809948002630183, 18.846639740834043, 18.849782925147014, 18.916409987152978, 18.937421153526092, 19.118768935325782, 19.275346825016303, 19.29626230130955, 19.337899370840354, 19.36414465489563, 19.414650316296775, 19.458657752557013, 19.459901321001865, 19.468803969181465, 19.541023292703166, 19.551876001512284, 19.55419521322346, 19.575605145903673, 19.591258065952605, 19.605823082501082, 19.626223776692477, 19.64903206346324, 19.659113709193107, 19.679897319110275, 19.697109587421632, 19.716773687351502, 19.752935927793597, 19.772769560587424, 19.81062003623896, 19.84964826478312, 19.867120957962392, 19.907561385850364, 19.929572959136898, 19.93733899795863, 19.94714259369398, 20.027671415224884, 20.02949364561143, 20.04048123246655, 20.04936536735775, 20.04949177065539, 20.075873123703204, 20.079635389511193, 20.091109737834195, 20.164360540212567, 20.20759715719225, 20.231211398078667, 20.236101771025194, 20.24264683872557, 20.246657748458446, 20.248741830528, 20.259325860166328, 20.29068329910353, 20.30706202968893, 20.330555608289743, 20.358965248903203, 20.366575056386715, 20.369592011433717, 20.41063981844394, 20.42452568014762, 20.436223070196686, 20.48781216421359, 20.509387743136383, 20.531707337309967, 20.536376004274636, 20.564198142543983, 20.57999093815662, 20.582798915812884, 20.63484793000269, 20.65631429042061, 20.657519003993244, 20.65978539021784, 20.663341657364683, 20.679312809292668, 20.68160366013533, 20.70100361081644, 20.702316585488973, 20.711693836990243, 20.712960425696618, 20.741934749950786, 20.79762504469789, 20.80349260185961, 20.81606215186949, 20.817041670501723, 20.827560733154417, 20.83466854239981, 20.836898172544643, 20.8570483039212, 20.860509380874685, 20.887727272671395
3, 17.38596357750104, 17.526011357278797, 17.569912766784483, 17.65064534192744, 18.07037471059154, 18.22776022576801, 18.248656970661553, 18.49349972963981, 18.57241012098264, 18.590017697329287, 18.649087075362747, 18.705800090077545, 18.750354473393106, 18.761802451635916, 18.772976531829418, 18.854040326179753, 18.89860717652, 18.9452638661463, 18.97831164642297, 18.991036577448877, 18.995999100645925, 19.03270605328813, 19.05572098406933, 19.065412327685188, 19.124279955913543, 19.134322317151174, 19.268159425880068, 19.310460170858054, 19.337006769502747, 19.364691108340114, 19.383207221543564, 19.385825031504737, 19.397563414253884, 19.43964748749135, 19.47621403197648, 19.47884537056765, 19.55196606218933, 19.596583218698616, 19.649238387180617, 19.665325608976268, 19.681052115602284, 19.694745677231946, 19.701485630393822, 19.709927134372553, 19.712541881292296, 19.726158614273828, 19.72705248289314, 19.731623511906754, 19.82814277188946, 19.838639554787022, 19.889307650094622, 19.951446584633423, 19.954652802667855, 19.968799100592598, 20.058139790424963, 20.06335294303342, 20.07364108062199, 20.09395270323677, 20.1165870919241, 20.119469185522068, 20.120919041680718, 20.12547471776935, 20.152568396173315, 20.16234655995464, 20.194613063900643, 20.198826022055517, 20.20071041254058, 20.21569677829474, 20.23245172165849, 20.2336936595366, 20.262079796127097, 20.265826385559123, 20.29770261530609, 20.303189752102895, 20.31539679834149, 20.386351850150763, 20.402878927985267, 20.420530880479017, 20.428016066199394, 20.443034611828974, 20.445475535105974, 20.449166495174264, 20.50917562946109, 20.51050253641494, 20.517563129621774, 20.51778728342174, 20.518133676634637, 20.52918892230734, 20.535986402424356, 20.54136970207676, 20.551693907259462, 20.605240790041773, 20.625641476559434, 20.629519875023465, 20.6316585649852, 20.646541114234918, 20.652521328823628, 20.664823804026767, 20.665442575853948, 20.680459412580777
4, 17.172846576336276, 17.23186315083381, 17.600461988987192, 17.88213233275707, 17.904135473058407, 18.04135712893877, 18.346381456984844, 18.53004418685358, 18.559567448444565, 18.606346733116748, 18.639723138833023, 18.691612954086548, 18.739498361205424, 18.820374277652764, 18.82478207011186, 18.954318148120397, 18.968957136481958, 19.022591714798352, 19.044705625737446, 19.224733993140322, 19.252459220418118, 19.2999898086622, 19.310664376077092, 19.314142200286106, 19.315314100133886, 19.3655778190968, 19.453770592909283, 19.4757197128712, 19.477217685201566, 19.53217293973501, 19.576862185733198, 19.688395826092115, 19.720999709193336, 19.73056245393895, 19.736338410715348, 19.74720126554143, 19.76699054768254, 19.7789530859777, 19.82962260400601, 19.83495063677033, 19.876788383401895, 19.877100559077853, 19.92836199988613, 19.987702276585214, 20.018128617949092, 20.023558246078093, 20.04267150681718, 20.04432187781015, 20.045213005447803, 20.072368264673948, 20.11455320380716, 20.12047375700495, 20.14995231894955, 20.18073690147287, 20.18978709464116, 20.19449643424706, 20.204560572145226, 20.207053269211443, 20.24352878658713, 20.2824465192282, 20.287757870093415, 20.28989730489443, 20.304450376590864, 20.310584773499002, 20.314572597628747, 20.33465124028885, 20.362172872555494, 20.37152793881925, 20.427872804390756, 20.434854964344098, 20.437490832205533, 20.43778556650385, 20.45106069049667, 20.454849834427534, 20.47079904281614, 20.4720140692901, 20.506974387473676, 20.553929623733538, 20.557438000054642, 20.565415827882383, 20.589574278192163, 20.592009819853576, 20.59605083056919, 20.6022961422083, 20.633650815019404, 20.647303882025923, 20.67036288908062, 20.709697214558226, 20.72916995298814, 20.77726877976425, 20.778062734995903, 20.781527816983278, 20.786053932777232, 20.79526583365123, 20.828487302644994, 20.828573569906204, 20.850463280120707, 20.865858140037457, 20.868927693940726, 20.875455576167415
5, 15.961993592235897, 16.427470813441623, 17.41941750566948, 17.55614879072581, 17.872931731658472, 17.95441894565957, 17.987989640480844, 18.292494376031236, 18.446120904018166, 18.475270903620164, 18.578349030761945, 18.609625143863358, 18.64421601659246, 18.751544579146763, 18.761547075417102, 18.765450404150776, 18.783823656449307, 18.84719115318188, 18.958515333130443, 19.002628682418226, 19.099993687908615, 19.251296470839453, 19.26216668143941, 19.309645817759925, 19.334150243673573, 19.363787582117922, 19.381860777218968, 19.41157978300863, 19.43923898674758, 19.489970768775123, 19.493879929127164, 19.566374329275504, 19.646116434300964, 19.70092957864464, 19.703421497120345, 19.72730364173142, 19.729844686041737, 19.730974303133205, 19.738098684158377, 19.746190625437475, 19.750061473446017, 19.784137056353156, 19.853677259332937, 19.889604719655907, 19.902300960761828, 19.95413988517036, 19.991005638586127, 19.99143927634854, 20.0461434623738, 20.090349839767423, 20.121866036065565, 20.128839560679076, 20.13579052717448, 20.13762289486149, 20.146145463059995, 20.15598162181548, 20.19589102958805, 20.214268928742317, 20.217415268400153, 20.22515470740799, 20.22789947209801, 20.29914589750084, 20.30014652602301, 20.300891482605337, 20.301169010155228, 20.325731155844032, 20.385621348129114, 20.388330768043947, 20.408612525218533, 20.413771206911985, 20.43933269602974, 20.4460870532533, 20.449566156505583, 20.46735757485753, 20.490656504999208, 20.496030020287783, 20.49958162619565, 20.509565309884703, 20.511265940332873, 20.51325527538067, 20.5312560677121, 20.53553823845609, 20.549926627214926, 20.568132525436923, 20.581908748945633, 20.59021442798668, 20.59151194047274, 20.600608367140673, 20.62527906446958, 20.63649608152299, 20.643677123355943, 20.65504523792323, 20.66316308715532, 20.667114946486727, 20.682824872477234, 20.716332352278666, 20.734634803769165, 20.737829990945983, 20.752902072413466, 20.754121390814383
6, 16.135837119539485, 17.027923737915287, 17.522508725789322, 17.538858359086067, 17.66364742343219, 17.74346937077838, 18.214252779240613, 18.412372248847497, 18.61208073465529, 18.674302547539913, 18.85587417682459, 18.901201265706742, 19.069382728179487, 19.1044799376748, 19.174150536000496, 19.180924646858173, 19.19257374299479, 19.21045538377649, 19.2190759041433, 19.27646142068284, 19.309430545461268, 19.372147796064326, 19.37832660075221, 19.42727461525115, 19.540908327425523, 19.557541367244326, 19.593581219523767, 19.62693774988521, 19.630333887537688, 19.644393296399013, 19.65289659907347, 19.65590495910431, 19.659978010845965, 19.69515223352035, 19.695371022014875, 19.709264662271814, 19.7428106490438, 19.742901595843076, 19.786520299830592, 19.788629316635735, 19.911940834171947, 19.917651817163847, 19.925342775998068, 19.931641017717087, 19.93826655729506, 19.939961005561617, 19.940570780209537, 19.978466584077836, 19.99005884180295, 19.993541088899885, 20.007309428199516, 20.071524889134583, 20.072427218077046, 20.099830016419023, 20.135901617894422, 20.1402146219191, 20.18651034825133, 20.203737018337748, 20.25990736024604, 20.26006842515667, 20.261814775432462, 20.264063944741768, 20.309492948838976, 20.369762710249617, 20.378209621859977, 20.38021347219778, 20.380799925581066, 20.42772580448027, 20.43868442661169, 20.452406256985046, 20.452711682872852, 20.454275397499654, 20.465751340079237, 20.47069303834455, 20.47419913924376, 20.483412819682258, 20.4967659424862, 20.51155873488808, 20.51248721040704, 20.513568658685887, 20.5272237478868, 20.52912986063296, 20.53190615255156, 20.54231418022577, 20.558500262431636, 20.57093457388302, 20.584287619078946, 20.58747851997929, 20.5969803879149, 20.604883201808338, 20.605653070439807, 20.632455791395245, 20.65349707606297, 20.65978018623911, 20.68160828329007, 20.696872324538532, 20.70071977306837, 20.746402199933332, 20.747076039494882, 20.747291522140472
7, 16.342174143081152, 17.10603795010814, 17.60629322694151, 17.72922360085529, 17.880423646738944, 17.959301349826763, 18.21893564400569, 18.260621567488325, 18.34628719807659, 18.35195596291505, 18.54877382240984, 18.635751705567348, 18.64495832512157, 18.6740621400931, 18.682735394721764, 18.709762560789144, 18.86006237707963, 18.89667794252448, 18.92484494206617, 18.945664495691332, 18.95250206751701, 18.991441404460176, 18.99934900645547, 19.000456490262707, 19.007388798242264, 19.050226852017317, 19.111800023001898, 19.219088710375118, 19.219544941924624, 19.27715043533748, 19.308926481597936, 19.344589422451122, 19.504878277567496, 19.52393141296984, 19.52879438023076, 19.53712767697552, 19.557401908655592, 19.569109218726933, 19.595868178627097, 19.629346514852024, 19.670662562827147, 19.695245218161975, 19.71283094384243, 19.714362104753327, 19.723531661382882, 19.798761028810933, 19.863134264133656, 19.88029427676765, 19.913936183765607, 19.915464986829836, 19.952160668270672, 19.95550355758926, 19.968066900749523, 19.99231743376287, 20.015404501205108, 20.01649769294608, 20.0367544403526, 20.171094726483958, 20.199946404071568, 20.238636292053464, 20.273085833966036, 20.28238760803432, 20.302538538138165, 20.31413587861452, 20.315818155807314, 20.319674328100845, 20.32110725625313, 20.32255500799916, 20.32865281513212, 20.340349870613593, 20.418510174639003, 20.42291023306131, 20.44912873403305, 20.457293538706384, 20.462528614266155, 20.479195763459504, 20.489689158996374, 20.48969135823665, 20.49245821097377, 20.497579255334912, 20.499458123104205, 20.506023994255422, 20.510272544113004, 20.52173891169908, 20.528493138373094, 20.55110190688673, 20.563545350194367, 20.58735326626613, 20.616797248210133, 20.62885887701981, 20.637306223829043, 20.6416371537007, 20.64327676942896, 20.65611379697056, 20.658964425480246, 20.663966477795096, 20.67562980391835, 20.68258250850547, 20.70245908612118, 20.716464446768715
8, 17.951014931170963, 17.97779606911839, 18.017150642828952, 18.385048080975736, 18.414676801469927, 18.436026271377074, 18.618171539821954, 18.696914839065954, 18.735282177267443, 18.801522596729477, 18.835559127506194, 18.904451688034303, 18.950458095514662, 18.976755854885823, 19.00559924393608, 19.120037825767497, 19.181456361145955, 19.218919693202597, 19.225946822196317, 19.307418345269355, 19.322514568473334, 19.32821596497631, 19.33249838327693, 19.337144409188245, 19.34951444268089, 19.37270303105988, 19.37290020845323, 19.386585164854257, 19.392980150960447, 19.393278473392208, 19.394530195219236, 19.46836424620186, 19.470721407424964, 19.558836952336378, 19.562552964119796, 19.576001081947517, 19.577162951911575, 19.636402879886134, 19.648620652861307, 19.652952484083137, 19.666310149296283, 19.74156927703155, 19.766728880371577, 19.774551414006208, 19.78793287200987, 19.790287828784187, 19.820071021120018, 19.843862750769784, 19.852036691842738, 19.913325743133136, 19.92139012129018, 19.94352589117857, 19.961295646740297, 19.976200839975466, 19.990198388700833, 20.005579748078887, 20.02258942422858, 20.034496824081437, 20.039083562053992, 20.047622077389253, 20.102301252932914, 20.107663509932014, 20.114990015875158, 20.11769294237347, 20.16150663022331, 20.165289790521584, 20.1986977451885, 20.199739560545726, 20.206879376374836, 20.23743729102592, 20.272838729651106, 20.29109599715433, 20.296930348350585, 20.335044504054554, 20.33526064553911, 20.337952642263854, 20.338468658153626, 20.347500951118786, 20.362067312144017, 20.3724485426682, 20.37695449660014, 20.37763335349303, 20.38111765474088, 20.38969037656027, 20.40184336881317, 20.409690916592137, 20.433899298160046, 20.44578132603068, 20.44811525077686, 20.4683134750628, 20.47798634424085, 20.499633337115313, 20.49990264075642, 20.536639882921687, 20.54286727656844, 20.545203425774087, 20.552543505685982, 20.594117924037775, 20.597453058711938, 20.618982766175748
9, 14.647186048226226, 17.538537293301992, 17.709302805063643, 18.25294340704019, 18.38721802071472, 18.482733590887413, 18.50510101465567, 18.525545431129963, 18.56840996798177, 18.604902814915793, 18.767852379879102, 18.802374472822173, 18.81809959786471, 18.825136105904743, 18.85508301463496, 18.916228773628283, 18.952378508721782, 19.26473374812419, 19.26857052925901, 19.364200144243178, 19.36474073266534, 19.389924844882596, 19.427388943956704, 19.43562833552286, 19.476532805147745, 19.477872040381946, 19.51921006668169, 19.59942652680429, 19.639364420919847, 19.65909262893901, 19.6785271127892, 19.70623940746071, 19.766411336777825, 19.77393371115703, 19.85913264557031, 19.859258705537382, 19.859960132191425, 19.87716003643002, 19.883237002412855, 19.945076546589096, 19.945196008404764, 19.961537461313448, 19.98007019560093, 19.994378307988143, 20.007805229512865, 20.01127987888872, 20.02084196642024, 20.073092526989385, 20.1048013438108, 20.11883222057522, 20.185706102247593, 20.190065400004823, 20.19721846368668, 20.20696402494612, 20.225655597503163, 20.22816184271555, 20.24406104294207, 20.245031219038886, 20.245911567130438, 20.2473818894224, 20.25993748159988, 20.266073650826865, 20.32164333479306, 20.322978806846958, 20.325024847514545, 20.334692388729994, 20.335615927316123, 20.389160113381585, 20.433418305685827, 20.435617587387746, 20.43950916228891, 20.45644106628898, 20.49512957194027, 20.495248287257745, 20.498830335951066, 20.513132036506786, 20.513385265777444, 20.5178483323943, 20.555061806166222, 20.560211419066828, 20.561474141604272, 20.566777006218985, 20.58648065183381, 20.595298978182072, 20.598311122982565, 20.620054278707325, 20.628824600874875, 20.63002259241881, 20.631504637198077, 20.635584413078554, 20.645962991999337, 20.653951890369864, 20.654782184251175, 20.665694963756533, 20.705277587400342, 20.716732905977807, 20.71836164414008, 20.72057801774936, 20.723198118795896, 20.740172721458645
10, 17.52065967265304, 17.939913283531904, 18.124743655067167, 18.223820373261006, 18.360180708819442, 18.499104622560278, 18.51948011607102, 18.543429305921713, 18.545219358107822, 18.61292559274416, 18.733173527201423, 18.739430892391095, 18.756070227430406, 18.78662261089928, 18.85918236571085, 18.95760523393701, 18.998425773235827, 19.072320492841776, 19.098566541983566, 19.16217439265961, 19.19554661692812, 19.209480878991418, 19.29823561135166, 19.31314471996309, 19.32262261464601, 19.331894901928873, 19.34231033468971, 19.349507484183412, 19.381013524439755, 19.391317738028885, 19.393939566472636, 19.402125540643887, 19.41423740353686, 19.42532032088266, 19.470384067994964, 19.480809947511535, 19.50583956885196, 19.548036215488512, 19.620730363320803, 19.624289618967392, 19.62649515299556, 19.668073723220857, 19.66849246581009, 19.712819677988907, 19.745012640369318, 19.777227447010798, 19.842609596011986, 19.880589330933905, 19.882721037069153, 19.88770909328164, 19.89949006943221, 19.90267622595349, 19.904353098022032, 19.90595676156126, 19.93590069893956, 19.93940770118695, 19.98219258717056, 20.00906924719484, 20.01076809207126, 20.015565417580905, 20.038204049039138, 20.136819358621693, 20.16162303581559, 20.16266059360874, 20.16670558549776, 20.185004412193173, 20.19082984326477, 20.190848510130397, 20.201113120625124, 20.21748522202825, 20.218092009401307, 20.24598674462823, 20.25357528035224, 20.26409860593154, 20.268993984734234, 20.29359026203524, 20.326692506128058, 20.347158000560945, 20.351126163198785, 20.381660117760426, 20.440687947577167, 20.483334449597567, 20.48486842421141, 20.519866075068787, 20.538908446675258, 20.573152605434423, 20.579652798121238, 20.586430938933464, 20.628431133438912, 20.639693085457754, 20.642813598830312, 20.6442087739461, 20.644584399180435, 20.64842097190234, 20.653012375336, 20.661431092253952, 20.67302494276464, 20.69349522320369, 20.695180582570643, 20.697015905530733
